0	0	I've been driving my new Rav for about a month now, and I'll admit I've been surprised (in both good and bad ways) Good (With 4cyl): Incredible gas mileage
0	1	I average ~30mpg interstate (with cruise control going 65mph) If I go up to 72mph, I drop to around 24/25mpg so the trick is to keep it slow
0	2	Additionally I can get a solid 34mpg doing 55mph on more rural travels
0	3	I also use the aux jack constantly with my MP3 player, don't know how I went 9 years without one
0	4	We had aftermarket heated seats installed in the cloth seats, nice in Pennsylvania! Bad: The cloth seats are NOT comfortable, sure, they could be worse (i.e
0	5	Subaru) but it may be worthwhile to go for leather.
1	6	This is my 3rd MDX
1	7	Great vehicle, reliable, comfortable, quick and fun to drive
1	8	Dollar for dollar there is no better SUV on the market today
1	9	I have put about 100,000 miles on the 3 MDX's with few if any problems
1	10	My only real gripe is that the few problems I have had, have been dealt with poorly
1	11	The service departments of the Acura dealers are well below par, in fact they are poor
1	12	This is my 4th Acura in 7 years and as much as I love the vehicles, because of the quality of Acura's service, this will probably be my last
1	13	Honda get your act together you ain't no Lexus.
2	14	I've had my new Outback Sport for a few weeks now and have been very satisfied with it so far
2	15	I'm still getting used to the different (read: better) handling of the AWD
2	16	I test drove roughly similar vehicles (Honda Fit and VW Rabbit) and this Subaru, while more expensive, just felt much more intuitive and well thought-out
2	17	The seat warmers are nice and standard on this trim
2	18	The fuel economy is better than expected (26-27 mpg city+highway), even this early in the car's lifetime.
3	19	Did the NCM (R8C) delivery on 10-23- 08
3	20	After hearing the car rolled off on 9-23-08 I was like a kid waiting for Christmas
3	21	I arrived with my sister and dad
3	22	The delivery experience was super
3	23	NCM guide was awesome
3	24	Drove 3000 miles back to Seattle via Chicago, Denver, Boise, and then Seattle
3	25	I could not be happier
3	26	Over the entire trip I averaged over 28mpg! Road noise was not an issue
3	27	Wish all my cars had a HUD, hands free Bluetooth, XM radio and 505 hp! The hardest part is keeping the smile off my face
3	28	Heard a lot of negative items about the car like road noise, steering, ect.
3	29	Nope, 125% satisfied with my Z06.
4	30	Since purchasing this SUV I've been more than pleased
4	31	It makes driving fun again
4	32	It's roomy but sleek on the inside
4	33	I've found that it has plenty of power for everyday driving and I've averaged 20 MPG so far (both city & HWY)
4	34	After driving domestic cars my whole life I can now see why they are in so much trouble
4	35	The Honda Pilot is best in its class in my opinion.
5	36	Turbo 4 provides plenty acceleration with good gas mileage
5	37	Handling is unreal
5	38	Considered the BMW 328 and Cadillac CTS
5	39	Both were great but did not appear worth the extra cost (insurance, maintenance and purchase price)
6	40	Before I bought it I test drove Infinity G35, M35 and Acura TL
6	41	I even brought Infinity M35 to Hyundai dealership, parked both cars next to each other, opened all doors and trunk and almost compared each inch of the cars
6	42	"I am waking up every morning and thinking: ""I will be driving Genesis today again!"" Incredible car!"
6	43	Some previous reviewers seems like didn't read car manual
6	44	Side mirrors reverse tilt down can be switched OFF, trunk has push button right above license plate (slightly to the right).
7	45	Bought this car last weekend
7	46	I love the power the V6 provides
7	47	The ride is nice and smooth and the SE sport package really adds to the look of the car
7	48	"I got it in black with the 17"" rims and love the way it looks!"
8	49	The body of this car is by far the best looking on the road today
8	50	And Deep Sea Blue is the most beautiful color I?ve seen
8	51	In the shade it looks black, but in the sunlight it?s a gorgeous three dimensional metallic shade of dark blue
8	52	I think the darker colors bring out the lines better than the lighter ones, but I?ve read other reviews that say the opposite
8	53	The conclusion: the car has awesome lines regardless of color
8	54	The MMI isn?t as confusing as some reviews say; however, most actions are a two-step process
8	55	It?s a little more work, but there are SO many options for comfort, information, entertainment, etc
8	56	If you?re considering this car, go drive one, you?ll love it
9	57	I seriously considered (and test-drove) the Toyota Avalon, the Lexus ES330/350 and IS250, and the Maxima was just a better overall vehicle
9	58	It's comfortable, stylish, feature-rich, and extremely fun to drive
9	59	The CVT transmission is very responsive, the engine has ample power, handles like a sports car, yet has room for 4 people (it has seat belts for 5, but the 5th one had better be a midget)
9	60	I fell in love with the iPod integration immediately, and the center console computer (I didn't buy the nav) has bucketloads of information if you desire info
9	61	I can't say enough about how I enjoy the SmartKey (breaking the habit of taking out a key was easier than I thought)
9	62	Terrific vehicle! 
10	63	Traded a BMW 745i for a Toyota Hybrid
10	64	With gas approaching $4 for premium it was time for a change! Tested Prius but could not make the transition with hardly any creature comforts available in this region
10	65	Didn't discover the Camry until the last minute
10	66	Customer reviews here and elsewhere on the web boast how great this car is so I went to take a test drive
10	67	Truly, I thought I would give up a lot to save gas and the environment but instead was quite surprised! Got the hybrid fully loaded and couldn't be happier
10	68	"Every day I ask myself, ""what took me so long!"" Get a Camry Hybrid!!"
11	69	The car is beautifully crafted with subtle elegance
11	70	The AWD worked superbly in snow and ice
11	71	The vehicle is quiet, responsive, and thoughtfully designed, inside and out
