行ID,文書ID,文書内ID,anotation1,anotation2,文,サービス,立地,部屋,設備・アメニティー,風呂,食事,その他
2155,417,1,p,o,当日予約で突然のお願いだったのに荷物を預かってもらえてありがとうございました。,1,,,,,,
2156,417,2,p,p,場所は駅から近いしよかったです。,,1,,,,,
2157,417,3,p,o,コンビニも近い。,,1,,,,,
2158,417,4,y,y,シャンプーなどが別々にあってほしい。,,,,,1,,
2159,417,5,p,p,水のサービスは嬉しかった。,1,,,1,,,
2160,417,6,p,p,部屋は照明もベッドも可愛かったです,,,1,,,,
,,,,,,,,,,,,
2161,418,1,Z,Z,蟹につられて６年ぶりに再利用しました。,,,,,,1,
2162,418,2,p,p,安い料金のに８回の部屋を用意してもらい恐縮でした。,,,1,,,,
2163,418,3,kp,p,蟹の味は今一でしたが、他の料理が山ほどあり、美味しかったです。,,,,,,1,
2164,418,4,p,p,温泉はすごくいいです。,,,,,1,,
2165,418,5,kp,e,温泉街から離れてるのが少し寂しいですが、フロントの人達はみなさん素敵な男女です。,1,1,,,,,
2166,418,6,Z,Z,また三朝の湯に行ってみたいです。,,,,,1,,
,,,,,,,,,,,,
2167,419,1,Z,Z,３月３日と３月４日に宿泊しました。,,,,,,,1
2168,419,2,k,k,ドライヤーが備え付けられていなく、困惑しました。,,,,1,,,
2169,419,3,p,p,食事がおいしかったです。,,,,,,1,
2170,419,4,Z,Z,お世話になりました。,,,,,,,1
,,,,,,,,,,,,
2171,420,1,p,p,とても広く清潔な室内でとても満足しています。,,,1,,,,
2172,420,2,k,k,ただ、バスルームの換気扇が動かなかったのと、インターネット接続環境が部屋に無かった事は残念です。,1,,,1,,,
2173,420,3,p,p,ベッドや・枕・シーツ等は最高でした。,,,1,,,,
2174,420,4,Z,Z,また利用しようと思います。,,,,,,,1
,,,,,,,,,,,,
2175,421,1,k,k,ゴトゴトとうるさかった。（リネン室？）,,,,,,,1
,,,,,,,,,,,,
2176,422,1,p,p,当日、ツインに変更して下さったのでとても快適に過ごすことが出来ました。,1,,1,,,,
2177,422,2,p,p,窓からの景色も楽しむことが出来ました。,,1,1,,,,
2178,422,3,pk,e,風呂はカビ臭い臭いもなく本来なら「大変満足」にしたかったのですが、構造上、浴槽が丸い形をしていたため、浴槽とカーテンとの間に隙間があり、シャワーの水が一部外に出てしまったため１点減らしました。,,,,,1,,
2179,422,4,Z,Z,また利用できればと思います。,,,,,,,1
,,,,,,,,,,,,
2180,423,1,Z,Z,９月２７日に３９００円割引で宿泊しました。,,,,,,,1
2181,423,2,p,p,正直あまり期待していなかったのですが、ロビーもリニューアルされていてとてもきれいでしたし、子供たちの騒ぎ声もなく本当にゆっくり落ち着いて過ごす事ができました。,,,,,,,1
2182,423,3,p,p,部屋食でまったりできましたし、量・質ともに満足いくものでした！,,,,,,1,
2183,423,4,p,p,楽しみにしていた花火も見れましたし、お湯もなかなかよかったです。,,1,,,1,,
2184,423,5,k,k,ちょっとぬるめでしたが。,,,,,1,,
2185,423,6,p,p,お土産のお米もおいしくいただきました。,,,,,,1,
2186,423,7,Z,Z,ありがとうございました！！,,,,,,,1
2187,423,8,p,p,大型連休を避けたのが正解だったと感じています。,,,,,,,1
2188,423,9,p,Z,また機会があったら宿泊させていただきたいと思います☆,,,,,,,1
,,,,,,,,,,,,
2189,424,1,p,p,交通の便がよく、また、ホテルの方も親切で良かったです。,1,1,,,,,
2190,424,2,pk,e,部屋のつくりもおしゃれなのでいいのですが、ただ、上の階の客のどんどんと走る騒音がうるさく、まるで安ホテルのような作りではないのかと思いました。,,,1,,,,1
,,,,,,,,,,,,
2191,425,1,k,k,2月末に宿泊しました、日曜日だったのですが時間帯も悪かったのかチェックインするのに並ばなければならず結構窓口は多く開いていたのですが少し待たされました。,1,,,,,,
2192,425,2,y,y,ちょっと対応を考えたら如何でしょうか。,,,,,,,1
2193,425,3,p,Z,部屋は4階でしたが海も見えて部屋も広くゆっくりくつろげましたし、お月様と日の出も部屋から大変きれいに見ることも出来ました。,,,1,,,,
2194,425,4,y,k,食事はチェックイン時には7時30分と遅く告げられたのでゆっくりお風呂に入っており、部屋へ帰ったら6時から大丈夫との連絡がありこの辺りの連携は改善して欲しいですね。,1,,,,,,
2195,425,5,p,p,食事はバイキングでしたが品数・量共に十分で満足しました、当分はマグロとカニは要らないって感じでした。,,,,,,1,
,,,,,,,,,,,,
2196,426,1,p,p,スタッフの方はとても親切にして下さり良かったです。,1,,,,,,
2197,426,2,k,k,ただ、お部屋が想像していた部屋より狭かったのが残念でした。,,,1,,,,
,,,,,,,,,,,,
2198,427,1,p,p,値段が安く、朝食もついていたのでよかったです。,1,,,,,,1
2199,427,2,p,p,部屋も、小さい子どもがいたので、２つに仕切れるところが大人も助かりました。,,,1,,,,
2200,427,3,k,k,ただ、畳が悪いのか、黒いタイツにすぐに畳のかすが付き取れなかった。,,,1,,,,
2201,427,4,Z,Z,仕方がないので、近くでパジャマのズボンを買いました。,,,,,,,1
2202,427,5,k,k,それと、部屋に置いてあるパジャマも７分？で寒かったです。,1,,,,,,
,,,,,,,,,,,,
2203,428,1,k,k,ドライヤーの威力が弱すぎで、風邪引いてしまう。,,,,1,,,
2204,428,2,k,k,貸出しされるドライヤーまでもが、威力が弱い。,,,,1,,,
,,,,,,,,,,,,
2205,429,1,Z,Z,二度めの宿泊です。,,,,,,,1
2206,429,2,p,p,サービス対応は良かったです。,1,,,,,,
2207,429,3,ke,e,立地は快速が止まらないのが不便ですが、まあまあ良いです。,,1,,,,,
2208,429,4,Z,Z,周りには、すきやがありました。,,1,,,,,
2209,429,5,e,o,エレベーターに近くなければ夜も静かです。,,,1,,,,
2210,429,6,k,k,廊下の音は良くきこえます。,,,,,,,1
2211,429,7,k,k,部屋の温度調節はあまり良くなく、寝にくかったです。,,,1,,,,
2212,429,8,k,k,トイレのウォシュレットは、温水が出ません。,,,,1,,,
2213,429,9,Z,Z,個室も公衆も。,,,,1,,,
2214,429,10,p,p,大浴場は、一人のスペースが広くて大満足です。,,,,,1,,
2215,429,11,y,p,水圧もしっかりあった良いです。,,,,,1,,
2216,429,12,k,k,時間によって混みます。,,,,,,,1
2217,429,13,y,k,もう少しまめに掃除に入ってゴミと髪の毛だけでもきれいだとたすかります。,1,,,,,,
2218,429,14,p,e,朝食は、焼きたてではなくて、トーストできるパンですが美味しいです。,,,,,,1,
2219,429,15,p,p,全体的に味がしっかりしています。,,,,,,1,
2220,429,16,Z,Z,中国の方々が多いからでしょうか。,,,,,,,1
2221,429,17,y,y,卵料理は薄いほうが良かったかも。,,,,,,1,
2222,429,18,p,p,中華粥も美味しかったです。,,,,,,1,
2223,429,19,y,y,好みもありますが、もう少し素材の味をアピールでもいいかなと思います。,,,,,,1,
2224,429,20,e,Z,他のアパより濃いかも。,,,,,,,1
2225,429,21,k,k,氷機械が一台故障して、残り一台に並びましたが、追いつかず氷が出ませんでした。,,,,,,1,
2226,429,22,y,y,ズボンプレッサより氷を各階に設置したほうが需要にあうと思います。,,,,,,1,
2227,429,23,p,k,新しいし、テレビが大きいので快適でした。,,,1,,,,
2228,429,24,p,Z,また機会があれば宿泊したいと思います。,,,,,,,1
,,,,,,,,,,,,
2229,430,1,Z,Z,こちらに宿泊するのは、今回で２回目でした。,,,,,,,1
2230,430,2,p,p,選んだ理由としては、駅からかなり近いということ。,,1,,,,,
2231,430,3,p,p,チェックアウトが１２時だということ。,1,,,,,,
2232,430,4,p,p,ホテルの方の感じがよかったこと。,,,,,,,1
2233,430,5,p,p,そして安い。,,,,,,,1
2234,430,6,Z,Z,でした。,,,,,,,1
2235,430,7,py,e,これだけですでに満足ですがまた利用させていただこうと思いますので要望を書きたいと思います。,,,,,,,1
