行ID,文書ID,文書内ID,anotation1,anotation2,文,サービス,立地,部屋,設備・アメニティー,風呂,食事,その他
1,1,1,Z,Z,数年前、友人が宿泊しているところへ招待されて、次に博多で泊まるならココ！と決めていました。,,,,,,,1
2,1,2,p,p,部屋もベッドも広く、また、チェックインの時のプレゼントが選べるのもちょっとうれしかったです。,,,1,,,,
3,1,3,k,k,難を言えば湯船が狭いことと、喫煙室であったため、白い壁がヤニで茶色く変色していたこと。,,,,,1,,
4,1,4,k,k,特にソファーに座るとちょうど目線がそこに行くためかなり気になりました。,,,,1,,,
5,1,5,k,k,また、空気清浄機がかなりうるさいです。,,,,1,,,
6,1,6,p,p,しかし、洗練された部屋の雰囲気はなかなかのものです。,,,1,,,,
7,1,7,p,Z,次に博多に行くときもぜひ利用させてください。,,,,,,,1
,,,,,,,,,,,,
8,2,1,Z,Z,２月１３日に１泊しました。,,,,,,,1
9,2,2,p,p,温泉と食事に限れば、この価格以上だと思います。,,,,,1,1,
10,2,3,ep,e,また、古いですが、そこそこリニューアルされているようで、ある程度きれいに掃除してあります。,,,1,,,,
11,2,4,k,k,一方でアメニティーはかなり貧弱なので（普通の旅館であるものがここにはない）ので持参が必要です。,,,,1,,,
12,2,5,p,p,今回は温泉でゆっくりして美味い魚を食うがテーマだったので「４」満足にしました。,,,,,1,1,
,,,,,,,,,,,,
13,3,1,p,p,仲居さんのサービスとても良かったです?,1,,,,,,
14,3,2,pkp,e,料理もとても工夫されていて味盛り付けとても素晴らしく頂けました妻ももう一度来館したいというぐらあとてもよい旅館でしたただ露天風呂のごみ箱に昨日のごみがありましたありがとうございましたよい休日過ごす事ができました?,,,,,1,1,
,,,,,,,,,,,,
15,4,1,kp,e,立地が競合他ホテルに比較してやや不利かも知れませんが、それをカバーする工夫や努力が感じられ好感が持てます。,,1,,,,,
16,4,2,p,p,特に部屋位置の希望に対応して頂いた（おかげで大変静かでゆっくり過ごせました）ことなど、サービス面が優れていると感じました。,1,,,,,,
17,4,3,p,p,また、レストランが希望時間は満員とのことでルームサービスにしたのですが、ビジネス系ホテルではあまりないもので、良いプランだと思います。,1,,,,,,
18,4,4,y,y,今度名古屋に宿泊する機会にも選択肢の一番手に考えますので、幾つか要望を申し上げておきます。,,,,,,,1
19,4,5,y,y,ご検討頂ければ幸いです。?,,,,,,,1
20,4,6,y,y,部屋に空気清浄機を。,,,,1,,,
21,4,7,Z,Z,最近は常置しているホテルも多いです。?,,,,,,,1
22,4,8,pk,e,夕食ルームサービスは全体としては満足ですが、メインの鍋焼味噌カツは味が濃すぎでした。?,,,,,,1,
23,4,9,y,y,朝食は改善の余地ありです。,,,,,,1,
24,4,10,k,k,バイキングはなく、洋食セットを頼みましたが、粉っぽいポタージュなどレベルはあまり高くなかったです。,,,,,,1,
25,4,11,y,y,今一度他ホテルをベンチマークしては如何でしょう。,1,,,,,,
,,,,,,,,,,,,
26,5,1,Z,Z,高知城の近くと言う事で、大変期待をしておりました。,,1,,,,,
27,5,2,k,k,ライトアップが見たくて露天風呂にもはいりましたが、チョットした隙間からしか見えず残念でした。,,,,,1,,
28,5,3,k,k,ＨＰでの内容が、あまりよく書かれていたので、期待をしすぎたかな・・・と。,,,,,,,1
29,5,4,k,k,あと、カウンター食プランでは、次の食材（料理）が出されるまでの間がすごく長く、ぼーっと待つ時間があまりに長くて良い感じはしませんでした。（今回は、父親の米寿の祝いだったので、ちょっと気を使ってしまいました。）,1,,,,,,
30,5,5,p,p,それ以外は本当に良かったです。,,,,,,,1
31,5,6,p,p,特に屋上の露天風呂も大浴場も私好みで、満足感が今でも残っています。,,,,,1,,
,,,,,,,,,,,,
32,6,1,p,p,部屋は清潔感があり、寝心地のいいベッドで、ゆっくり休むことができました。,,,1,,,,
33,6,2,e,e,また、謎のビープ音がして、早起きさせられたときも、結局解決には至らなかったようでしたが、真摯に対応していただき、ありがとうございました。,1,,,,,,
34,6,3,kp,e,スペースの関係からか、ウォシュレットがないのが残念でしたが、それ以外は快適に使用させていただきました。,,,,1,,,
35,6,4,Z,Z,また今後ともよろしくお願いします。,,,,,,,1
,,,,,,,,,,,,
36,7,1,p,p,お部屋にティファールのポットがあったのがありがたかったです（沸くのが早くて好きなので）また、コーヒーがおいてあったのも良かったです。,,,,1,,,
37,7,2,p,p,お風呂はアメニティが香りもよく、リラックスして眠ることができ、朝食もおいしくいただけました。,,,,,1,1,
38,7,3,kp,e,地下鉄から行ったのですが、祝日だからかビルの入り口が閉まっており、うまく地上にあがることができませんでしたが、駅から近いのはいいことだと思います。,,1,,,,,
39,7,4,kp,e,急に決めましたのでお部屋からは東京タワーは見ることができませんでしたが、サロンでヘッドマッサージを利用した時によく見えました。,,1,,,,,
40,7,5,Z,Z,次回はタワー側のお部屋に泊まりたいと思います。,,,,,,,1
41,7,6,Z,Z,ありがとうございました。,,,,,,,1
,,,,,,,,,,,,
42,8,1,p,p,立地は良いし、部屋もベッドも料金の割には良いと思います。,,,,,,1,
43,8,2,k,k,ただ風呂がひどかった。,,,,,1,,
44,8,3,k,k,シャワーしか使用しない私でも狭くて難儀したくらいです。,,,,,1,,
,,,,,,,,,,,,
45,9,1,p,p,立地、金額、ベッドの大きさ、部屋の清潔感、従業員の応対、全て今イチバンお気に入りのビジネスホテルです。,1,1,,,,,
46,9,2,k,k,惜しむらくは禁煙部屋がすぐに埋まってしまい、泣く泣く他のホテルに泊まることが多々あること…,,,,,,,1
,,,,,,,,,,,,
47,10,1,p,p,ホテルのスタッフの方がこの寒いのに、外でお迎えに立たれていて関心しましたし、レストランも受付も掃除のスタッフも皆さん、とても気がつき対応がよかったです。,1,,,,,,
48,10,2,k,k,しかしながら、ホテルの壁の薄さには閉口ですが。,,,1,,,,
49,10,3,k,k,隣の人の電話の声が一言一句聞き取れ、イビキも朝の支度やシャワーも音がすごくて、今回夜間作業で朝方戻ってきたものですから2時間も眠れませんでした。,,,,1,,,
50,10,4,k,k,こればかりはホテルのつくりが悪いからしょうがないのでしょうが。,,,,,,,1
51,10,5,p,p,そのせいかお掃除の方は気を遣われて静かにされているようで感心しました。,1,,,,,,
,,,,,,,,,,,,
52,11,1,Z,Z,母の誕生日のお祝いに利用させて頂きました。,,,,,,,1
53,11,2,Z,Z,夕方着の為バス停までの迎えを頼めるのか良く分からず歩いて行きました。,,1,,,,,
54,11,3,p,p,部屋は灯台と海が見えとても良い部屋でした。,,,1,,,,
55,11,4,k,k,お風呂へは階段が有り足の悪い母には上り下りにちょっと大変だった様です。,,,,,1,,
56,11,5,Z,Z,食事は「活鮑の踊り焼き」を選びました。,,,,,1,,
57,11,6,p,p,朝食ともにとても美味しかったです。,,,,,1,,
58,11,7,p,p,母は食事も美味しく、値段も安く、お風呂で体の痛みも取れとても喜んでくれました。,,,,,1,1,
59,11,8,Z,Z,又行きたい。,,,,,,,1
