1	1	1	Z	Z	数年前、友人が宿泊しているところへ招待されて、次に博多で泊まるならココ！と決めていました。
2	1	2	p	p	部屋もベッドも広く、また、チェックインの時のプレゼントが選べるのもちょっとうれしかったです。
3	1	3	k	k	難を言えば湯船が狭いことと、喫煙室であったため、白い壁がヤニで茶色く変色していたこと。
4	1	4	k	k	特にソファーに座るとちょうど目線がそこに行くためかなり気になりました。
5	1	5	k	k	また、空気清浄機がかなりうるさいです。
6	1	6	p	p	しかし、洗練された部屋の雰囲気はなかなかのものです。
7	1	7	p	Z	次に博多に行くときもぜひ利用させてください。
					
8	2	1	Z	Z	２月１３日に１泊しました。
9	2	2	p	p	温泉と食事に限れば、この価格以上だと思います。
10	2	3	ep	e	また、古いですが、そこそこリニューアルされているようで、ある程度きれいに掃除してあります。
11	2	4	k	k	一方でアメニティーはかなり貧弱なので（普通の旅館であるものがここにはない）ので持参が必要です。
12	2	5	p	p	今回は温泉でゆっくりして美味い魚を食うがテーマだったので「４」満足にしました。
					
13	3	1	p	p	仲居さんのサービスとても良かったです?
14	3	2	pkp	e	料理もとても工夫されていて味盛り付けとても素晴らしく頂けました妻ももう一度来館したいというぐらあとてもよい旅館でしたただ露天風呂のごみ箱に昨日のごみがありましたありがとうございましたよい休日過ごす事ができました?
					
15	4	1	kp	e	立地が競合他ホテルに比較してやや不利かも知れませんが、それをカバーする工夫や努力が感じられ好感が持てます。
16	4	2	p	p	特に部屋位置の希望に対応して頂いた（おかげで大変静かでゆっくり過ごせました）ことなど、サービス面が優れていると感じました。
17	4	3	p	p	また、レストランが希望時間は満員とのことでルームサービスにしたのですが、ビジネス系ホテルではあまりないもので、良いプランだと思います。
18	4	4	y	y	今度名古屋に宿泊する機会にも選択肢の一番手に考えますので、幾つか要望を申し上げておきます。
19	4	5	y	y	ご検討頂ければ幸いです。?
20	4	6	y	y	部屋に空気清浄機を。
21	4	7	Z	Z	最近は常置しているホテルも多いです。?
22	4	8	pk	e	夕食ルームサービスは全体としては満足ですが、メインの鍋焼味噌カツは味が濃すぎでした。?
23	4	9	y	y	朝食は改善の余地ありです。
24	4	10	k	k	バイキングはなく、洋食セットを頼みましたが、粉っぽいポタージュなどレベルはあまり高くなかったです。
25	4	11	y	y	今一度他ホテルをベンチマークしては如何でしょう。
					
26	5	1	Z	Z	高知城の近くと言う事で、大変期待をしておりました。
27	5	2	k	k	ライトアップが見たくて露天風呂にもはいりましたが、チョットした隙間からしか見えず残念でした。
28	5	3	k	k	ＨＰでの内容が、あまりよく書かれていたので、期待をしすぎたかな・・・と。
29	5	4	k	k	あと、カウンター食プランでは、次の食材（料理）が出されるまでの間がすごく長く、ぼーっと待つ時間があまりに長くて良い感じはしませんでした。（今回は、父親の米寿の祝いだったので、ちょっと気を使ってしまいました。）
30	5	5	p	p	それ以外は本当に良かったです。
31	5	6	p	p	特に屋上の露天風呂も大浴場も私好みで、満足感が今でも残っています。
					
32	6	1	p	p	部屋は清潔感があり、寝心地のいいベッドで、ゆっくり休むことができました。
33	6	2	e	e	また、謎のビープ音がして、早起きさせられたときも、結局解決には至らなかったようでしたが、真摯に対応していただき、ありがとうございました。
34	6	3	kp	e	スペースの関係からか、ウォシュレットがないのが残念でしたが、それ以外は快適に使用させていただきました。
35	6	4	Z	Z	また今後ともよろしくお願いします。
					
36	7	1	p	p	お部屋にティファールのポットがあったのがありがたかったです（沸くのが早くて好きなので）また、コーヒーがおいてあったのも良かったです。
37	7	2	p	p	お風呂はアメニティが香りもよく、リラックスして眠ることができ、朝食もおいしくいただけました。
