上品,たたずまい
たたずまい,エントランス
エントランス,他
チャペル,存在
存在,ヨーロピアン
全館,バリアフリー
バリアフリー,自由
自由,居室
日当たり,良好
テラス,いす
談笑,楽しい
楽しい,人
裕福,人数
方々,品
アクティビティ,年間
年間,行事
行事,他
方途,一緒
お話,楽しい
楽しい,趣味
趣味,腕
生活,目的
目的,方途
方途,知人
知人,低価格
管理費,食費
食費,1日
口座,引き落とし
引き落とし,複数
手厚い,場所
充実,高い
十分,グループ
グループ,会社
四季,料理
料理,提供
提供,雰囲気
雰囲気,レストラン
レストラン,味
相談,個々
個々,知人
知人,歯
歯,定期的
定期的,相談
相談,やすい
やすい,味
相談,満足
お話,知人
質,説明
説明,細か
細か,お願い
嫌,顔
雰囲気,上品
余裕,印象
印象,住宅街
住宅街,場所
暮らし,祖師谷公園
祖師谷公園,自然
自然,場所
環境,申し分
小田急線,成城学園前
成城学園前,駅
徒歩,アクセス
アクセス,悪い
悪い,室
室,個室
個室,プライバシー
プライバシー,玄関
玄関,廊下
手すり,自分
自分,歩行
催し物,計画
交流,楽しみ
支払,家賃
家賃,管理費
管理費,生活
生活,サービス
サービス,食費
自分,他
見学,想定内
想定内,納得
中心,祭り
祭り,寿司
寿司,流動食
可能,受付
受付,担当
担当,案内
見学,皆さん
皆さん,優しい
会話,建物
建物,一緒
一緒,明るい
明るい,雰囲気
雰囲気,印象
印象,夜間
夜間,勤務
勤務,体制
体制,緊急
緊急,連絡
連絡,体制
体制,提携
提携,病院
病院,説明
サービス,担当
静か,環境
環境,住宅街
住宅街,電車
電車,駅
駅,近い
近い,自宅
自宅,車
車,電話
電話,見学
見学,お願い
お願い,スムーズ
段差,無い
無い,手すり
手すり,やすい
作り,優雅
人,参加
楽しい,生活
生活,飽き
飽き,工夫
工夫,知人
妥当,金額
金額,金額
金額,本人
本人,満足
感想,栄養士
栄養士,バランス
メニュー,皆さん
皆さん,趣味
心強い,体制
高い,病院
病院,連携
連携,スムーズ
成城,緑
緑,景色
景色,最高
高齢者,辛い
辛い,電話
問い合わせ,迅速
迅速,丁寧
丁寧,非常
非常,印象
印象,待機
待機,いい
気,祖父
祖父,利用
利用,記憶
方々,親切
外出,入浴
入浴,サービス
サービス,専用
専用,風呂
設置,トイレ
トイレ,介助
介助,親切
親切,若い
折り紙,手
活動,大きい
介護施設,利用
利用,金額
金額,必要
必要,ミキサー
ミキサー,最初
最初,祖父
支給,完璧
完璧,ミキサー
ミキサー,雰囲気
雰囲気,爽やか
おおい,地域
地域,利用者
挨拶,祖父
祖父,利用
利用,なかった
なかった,医療
医療,体制
体制,詳しい
送迎,気軽
気軽,利用
いす,車
駐車場,広い
期間,訪問
改善,トイレ
丁寧,印象
印象,年間
年間,季節
季節,行事
行事,それなり
それなり,チャペル
チャペル,雰囲気
雰囲気,行事
行事,場所
それなり,値段
栄養,健康
健康,管理
管理,プロ
プロ,大丈夫
大丈夫,見学
見学,皆さん
皆さん,自分
自分,好き
好き,自分
自分,好き
素敵,緊急時
緊急時,体制
体制,職員
職員,研修
静か,住宅街
最寄り,バス停
バス停,バス
バス,苦手
苦手,人
清潔,日当たり
窓,綺麗
綺麗,公園
公園,玄関
玄関,廊下
廊下,手すり
手すり,設置
設置,リハビリ
リハビリ,歩行
歩行,訓練
訓練,玄関
共有,スケジュール
スケジュール,退屈
退屈,程度
程度,催し
催し,地域
地域,ボランティア
ボランティア,グループ
グループ,皆さん
楽しみ,お金
お金,発生
見学,チェック
チェック,高い
母親,銀行口座
銀行口座,引き落とし
要望,母親
状況,好き嫌い
連絡,メニュー
メニュー,母親
心配,案内
案内,担当
勤務,心強い
言葉,母親
母親,持病
持病,気
気,横浜
横浜,総合病院
総合病院,隣接
緊急,連絡
連絡,体制
体制,自分
自分,確認
確認,横浜市
横浜市,郊外
郊外,公園
公園,最高
最高,場所
場所,自分
自分,マンション
マンション,車
可能,状況
状況,日常生活
日常生活,自由度
自由度,十分
残念,居室
天井,高い
高い,開放
開放,プロ
コンサート,レ
レ,Creation
Creation,幅
幅,広い
広い,月
都内,高い
活き活き,雰囲気
雰囲気,最高
最高,趣味
趣味,元気
元気,医療
定期的,研修
都内,住宅地
住宅地,静か
静か,最寄り
最寄り,バス停
バス停,徒歩圏内
徒歩圏内,アクセス
アクセス,やすい
やすい,高級住宅街
高級住宅街,成城
成城,オシャレ
オシャレ,空間
空間,建物
建物,外観
外観,おしゃれ
ヨーロッパ,建物
建物,造り
造り,外観
外観,建物
建物,インテリア
インテリア,素敵
素敵,清掃
清掃,一年
一年,季節
開催,チャペル
チャペル,日本
日本,体験
体験,催し
参加,体制
体制,看護
看護,医療
成城,緑
緑,静か
静か,環境
環境,駅
駅,遠い
遠い,高齢者
高齢者,辛い
辛い,有料老人ホーム
有料老人ホーム,珍しい
珍しい,建物
建物,チャペル
要素,チャペル
建物,自体
自体,建物
建物,無い
目,規模
大きい,程度
程度,広い
広い,一般
広い,日本
日本,ロング
ロング,ライフ
サービス,重視
方々,旅行
旅行,高級
高級,レストラン
他,老人ホーム
成城,場所
場所,ロング
ロング,ライフ
低価格,値段
値段,それなり
それなり,値段
値段,成城学園前
成城学園前,最寄駅
最寄駅,祖師谷公園
祖師谷公園,閑静
閑静,住宅街
住宅街,老人ホーム
老人ホーム,イメージ
イメージ,静か
静か,場所
場所,老人ホーム
ヨーロピアン,建物
建物,ロビー
生活,設備
設備,トイレ
トイレ,バス
雰囲気,要介護
豪華,設備
設備,調度
調度,ゴージャス
ゴージャス,雰囲気
雰囲気,洗練
洗練,サービス
家庭,雰囲気
雰囲気,季節
コンサート,地域
地域,子供
必要,あと
あと,月額
家賃,管理費
管理費,食費
食費,必要
提供,専門
専門,会社
会社,人
健康,状態
状態,提供
非常,楽しみ
楽しみ,満足
心,最高
最高,クオリティ
クオリティ,サービス
サポート,快適
快適,満足度
満足度,高い
高い,生活
看護,医療
医療,体制
バス,バス停
バス停,徒歩
徒歩,閑静
閑静,住宅街
住宅街,祖師谷公園
お話,機会
機会,毎日
毎日,趣味
囲碁,短歌
充実,毎日
毎日,毎日
毎日,生活
心,体
サポート,生活
生活,自立
